PID,Retalhista,Nome,Marca,Quantidade,Formato
976502,PingoDoce,Gelado Cookie Dough,Pingo Doce,"0.5 L | 6,98 €/L",Pints
976503,PingoDoce,Chocolate Belga,,,Pints
976505,PingoDoce,Gelado Meios Cocos,Pingo Doce,"0.29 L | 9,62 €/L",Other
976506,PingoDoce,Gelado Crocante Avelã,Pingo Doce,"0.3 L | 10,97 €/L",Sticks
976508,PingoDoce,Gelado Chocolate Clássico,Magnum,"0.3 L | 9,97 €/L",Sticks
976862,PingoDoce,Gelado Majestic Cookies,Pingo Doce,"0.6 L | 6,48 €/L",Sticks
976863,PingoDoce,Gelado Majestic Amêndoas,Pingo Doce,"0.72 L | 4,99 €/L",Sticks
976864,PingoDoce,Gelado Majestic Clássico,Pingo Doce,"0.72 L | 4,99 €/L",Sticks
977862,PingoDoce,Gelado Tripla Delícia,Pingo Doce,"2 L | 1,65 €/L",Tubs
977982,PingoDoce,Gelado Bombom Gold Caramel Billionaire,Magnum,"0.204 L | 19,56 €/L",Bites
977983,PingoDoce,Gelado Bombom Caramelo Salgado e Amêndoas,Magnum,"0.204 L | 19,56 €/L",Bites
977984,PingoDoce,Gelado Bombons de Chocolate Branco e Cookies,Magnum,"0.204 L | 29,36 €/L",Bites
978195,PingoDoce,Sorbet Framboesa,Pingo Doce,"1 L | 3,69 €/L",Tubs
985760,PingoDoce,Gelado Vegan Berries e Pistachio,Swee,"0.23 Kg | 29,52 €/Kg",Pints
986748,PingoDoce,Gelado Double Cherry,Magnum,"0.255 L | 15,65 €/L",Sticks
987203,PingoDoce,Gelados Mini Chocolate Branco e Amêndoa,Magnum,"0.33 Kg | 18,15 €/Kg",Sticks
988000,PingoDoce,Gelado Double Hazelnut,Magnum,"0.255 L | 15,65 €/L",Sticks
988220,PingoDoce,Gelado Mini Chocolate Clássico,Magnum,"0.33 L | 12,09 €/L",Sticks
988747,PingoDoce,Gelado Fruit Mix,Pingo Doce,"0.34 L | 7,62 €/L",Sticks
988835,PingoDoce,Gelado After Dinner,Magnum,"0.28 L | 26,75 €/L",Bites
988837,PingoDoce,Gelado Sticks Filipinos,Olá,"0.248 L | 16,09 €/L",Sticks
988839,PingoDoce,Gelado Twister Mini Ananás,Olá,"0.3 L | 13,3 €/L",
988840,PingoDoce,Gelado Cone Max Manga e Baunilha,Cornetto,"0.36 L | 16,64 €/L",Cones
988841,PingoDoce,Gelado Chocolate e Amêndoa,Magnum,"0.8 L | 7,49 €/L",Sticks
988987,PingoDoce,Mini Sandwich Avelã,,,Sandwich
990204,PingoDoce,Gelado Baunilha de Madagáscar,Carte D'Or,"1.3 L | 2,3 €/L",Tubs
990451,PingoDoce,Gelado Mini Sandwich de Nata,Pingo Doce,"0.6 L | 3,98 €/L",Sandwich
990452,PingoDoce,Gelado Geláticos,Pingo Doce,"0.342 L | 8,16 €/L",Sticks
990499,PingoDoce,Gelado Mochi de Coco,Pingo Doce,"0.14 L | 21,36 €/L",Bites
990500,PingoDoce,Gelado Cone Perna de Pau,Olá,"0.36 L | 8,31 €/L",Cones
990584,PingoDoce,Gelado Caramel & Nuts,Magnum,"0.256 L | 26,13 €/L",Bars
990615,PingoDoce,Gelado Cone Limão,Pingo Doce,"0.72 L | 4,15 €/L",Cones
990978,PingoDoce,Gelado de Pistáchio e Baunilha,Pingo Doce,"0.95 L | 3,88 €/L",Tubs
990979,PingoDoce,Gelado 3 Sabores,Pingo Doce,"1 L | 2,79 €/L",Tubs
991269,PingoDoce,Gelado Peanut Butter Cup,Pingo Doce,"0.5 L | 6,98 €/L",Pints
991270,PingoDoce,Framboesas Cobertas de Chocolate de Leite,Pingo Doce,"0.1 Kg | 26,9 €/Kg",Bites
991271,PingoDoce,Framboesas Cobertas de Chocolate Negro,Pingo Doce,"0.1 Kg | 26,9 €/Kg",Bites
991385,PingoDoce,Gelado Tarte de Limão,Pingo Doce,"0.5 L | 6,98 €/L",Pints
991498,PingoDoce,Gelado Majestic Pistáchio,Pingo Doce,"0.4 L | 8,73 €/L",Sticks
991579,PingoDoce,Gelado Vegan de Baunilha com Cookie,Swee,"0.24 Kg | 28,29 €/Kg",Pints
992086,PingoDoce,Gelado de Café Caramel Latte,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
992368,PingoDoce,Gelados Mini Cones de Chocolate e Morango,Pingo Doce,"0.336 L | 8,9 €/L",Cones
992498,PingoDoce,Gelado Majestic Chocolate Branco e Amêndoa,Pingo Doce,"0.72 L | 5,4 €/L",Sticks
992500,PingoDoce,Gelado Vegan Caramelo e Brownie,Swee,"0.23 Kg | 29,52 €/Kg",Pints
992711,PingoDoce,Gelado Vegan de Manga e Red Velvet,Swee,"0.24 Kg | 28,29 €/Kg",Pints
993098,PingoDoce,Morangos Cobertos de Chocolate,itFruit,"0.11 Kg | 24,45 €/Kg",Bites
993243,PingoDoce,Crepes Doces,Pingo Doce,"1 Kg | 3,99 €/Kg",Other
993513,PingoDoce,Gelado Ben & Jerry's Non Dairy Bohemian Rasperry,Ben & Jerry's,"0.465 L | 8,58 €/L",
993759,PingoDoce,Gelado Romântica Original,Carte D'Or,"1 L | 9,99 €/L",
998878,PingoDoce,Cookies Congeladas,Pingo Doce,"0.54 Kg | 7,2 €/Kg",Other
999836,PingoDoce,Massa de Pastel de Feira,Duforno,"0.75 Grm | 11,99 €/Grm",
